# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250601
# Fecha de finalización: 20250630
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Cloro granulado 60 (25 kg) - Vulcano SA | Chile,0,1,0,1,1,0,1,1,199,2
Codo 45° PN16 HH ø40 mm (para pegar) - Vulcano SA,0,1,0,1,1,0,1,1,7,4
Codo 45° PN16 HH ø50 mm (para pegar) - Vulcano SA,0,2,0,2,0,2,2,1,42.5,11
Codo 90° PN16 HH ø50 mm (para pegar) - Vulcano SA,0,1,0,1,1,0,1,1,18,2
Codo 90° PN16 HH ø63 mm (para pegar) - Vulcano SA,0,1,0,1,0,1,1,1,20,5
Codo archivos - Vulcano SA,0,7,0,7,3,0,7,1,9,16
Colector con salida central PN10 - PN16 ø63 mm (para pegar) - Vulcano SA,0,1,0,1,0,0,1,1,0,1
Colector con salida lateral PN10 - PN16 ø50 mm (para pegar) - Vulcano SA,0,5,0,4,3,0,4,1.25,22.75,13
Colector filtro VF-2000 - Vulcano SA,0,4,0,2,1,0,2,2,12,10
Colector para filtro HB-300 - Vulcano SA,0,2,0,2,1,0,2,1,41.5,5
Colector para filtro VC-10 - Vulcano SA,0.2,3,0,3,2,0,3,1,51.666666666666664,12
Colector para filtro VC-100 / VC-200 R - Vulcano SA,0.25,3,0,3,2,2,3,1,21.333333333333332,11
Colector ranurado - Vulcano SA,0,6,0,5,5,0,5,1.2,11.6,12
Colector solar CS-SB01 - Vulcano SA,0,8,0,5,4,0,5,1.6,38.4,22
Colectores archivos - Vulcano SA,0,13,0,10,4,0,10,1.3,23.9,29
Colectores solares archivos - Vulcano SA,0,21,0,17,10,1,17,1.2352941176470589,34.470588235294116,63
Company - Vulcano SA,0,1,0,3,0,0,3,0.3333333333333333,28,7
Conducción de fluidos - Vulcano SA,0.07586206896551724,296,0,126,46,12,125,2.368,25.712,530
Conducción de fluidos archivos - Vulcano SA,0,5,0,1,0,0,1,5,48,6
Conector de mango telescópico - Zuipy - Vulcano SA,0.14285714285714285,6,0,6,2,0,6,1,20.666666666666668,16
Conjunto Cabezal 1 1/2” c/O'Ring - Vulcano SA,0.08888888888888889,45,0,26,22,2,25,1.8,17.28,126
Conjunto Cabezal 2” c/O’Ring - Vulcano SA,0,3,0,3,2,0,3,1,13.666666666666666,10
Conjunto Cabezal 2” con O’Ring - Vulcano SA,0,6,0,6,5,0,6,1,16.5,21
Conjunto interruptor - Vulcano SA,0,9,0,9,5,3,9,1,16.444444444444443,30
Conjunto prensa manguera - Vulcano SA,0,4,0,4,4,0,4,1,33,7
Conjunto sujeta peldaño - Vulcano SA,0,4,0,4,4,0,4,1,59,15
Contact - Vulcano SA,0,0,0,6,0,0,6,0,21,9
Contact Zuipy - Vulcano SA,0,0,0,2,1,0,2,0,13.5,3
Contacto - Vulcano SA,0.013114754098360656,302,0,276,84,10,276,1.0942028985507246,71.65217391304348,859
Contacto zuipy - Vulcano SA,0,10,0,7,3,0,7,1.4285714285714286,14.571428571428571,23
Contenedor transparente - Zuipy - Vulcano SA,0.3333333333333333,2,0,2,2,0,2,1,3,8
Contramarco para boca ancha - Vulcano SA,0,4,0,2,2,0,2,2,18,16
Contramarco para boca chica - Vulcano SA,0,6,0,5,5,0,5,1.2,104.4,15
Contratuerca para hidrojet - Vulcano SA,0,1,0,1,1,0,1,1,4,2
Control remoto para Easy Pool Touch - Vulcano SA,0,9,0,6,2,2,6,1.5,39.833333333333336,27
Control remoto para Timer Plus - Vulcano SA,0,3,0,2,1,0,2,1.5,17,8
Controlador Plus 36W para luminaria RGB (220V) - Vulcano SA,0,14,0,10,6,2,10,1.4,35.1,35
Controladores de presión archivos - Vulcano SA,0,44,0,35,20,1,35,1.2571428571428571,28.771428571428572,120
Controladores y Expansores archivos - Vulcano SA,0,32,0,25,11,0,25,1.28,15.88,78
Cruces archivos - Vulcano SA,0,6,0,6,0,0,6,1,8.5,13
Cruz PN16 HH ø40 mm (para pegar) - Vulcano SA,0,2,0,2,0,1,2,1,13.5,8
"Cuarzo x 16,5 kg - Vulcano SA",0,5,0,5,3,2,5,1,12.8,18
Cuarzo x 20 kg - Vulcano SA,0.14285714285714285,7,0,5,4,1,5,1.4,38.2,21
Cubierta KLASIK A - Aluminio - Vulcano SA,0,15,0,11,5,0,11,1.3636363636363635,175,34
Cubierta KLASIK A - Pino - Vulcano SA,0,3,0,3,0,0,3,1,65.33333333333333,7
Cubierta KLASIK B - Aluminio - Vulcano SA,0,7,0,7,1,2,7,1,55.42857142857143,25
Cubierta KLASIK C - Aluminio - Vulcano SA,0.0625,19,0,14,5,5,13,1.4615384615384615,28.923076923076923,44
Cubierta KLASIK C - Pino - Vulcano SA,0,9,0,9,2,5,9,1,37,32
Cubierta archivos - Vulcano SA | Chile,0,1,0,1,1,0,1,1,1,2
Cubiertas para piscinas archivos - Vulcano SA,0,35,0,29,7,11,29,1.206896551724138,22.96551724137931,120
Cubre ventilador - Vulcano SA,0,7,0,6,4,0,6,1.1666666666666667,56.333333333333336,20
Cubre ventilador plástico para motor - Vulcano SA,0,9,0,8,4,3,8,1.125,40.125,28
Cuchara dosificadora - 20 g - Vulcano SA,0,6,0,6,1,5,6,1,19,24
Cuerpo 3 vías con boca para roscar - Vulcano SA,0,1,0,1,1,0,1,1,7,2
Cuerpo BAC - Vulcano SA,0.25,3,0,3,2,0,3,1,23.666666666666668,7
Cuerpo BAD 0.50 / 0.75 / 1.00 - Vulcano SA,0,2,0,2,2,0,2,1,82.5,7
Cuerpo BAD 1.25 - Vulcano SA,0,2,0,2,2,0,2,1,3,3
Cuerpo BAE / BAF 5L - Vulcano SA,0.06666666666666667,13,0,12,10,1,12,1.0833333333333333,24.25,39
Cuerpo BAT - Vulcano SA,0,4,0,4,3,1,4,1,20,14
"Cuerpo RM 3/4"" - Vulcano SA",0,1,0,1,1,0,1,1,83,3
Cuerpo autocebante BAP - Vulcano SA,0,4,0,3,3,0,3,1.3333333333333333,10,13
Cuerpo autocebante BAS - Vulcano SA,0,7,0,7,6,1,7,1,14.857142857142858,17
Cuerpo de anclaje ducha - Vulcano SA,0,3,0,2,2,0,2,1.5,65.5,7
Cuerpo de anclaje escalera - Vulcano SA,0,7,0,4,3,0,4,1.75,27.25,16
Cuerpo de caja de conexiones - Vulcano SA,0,3,0,3,2,1,3,1,67,10
Cuerpo de caja de conexiones BAD 125 - Vulcano SA,0,1,0,1,1,0,1,1,11,2
Cuerpo de caja de conexión - Monofásico - Vulcano SA,0,2,0,2,0,0,2,1,12.5,4
Cuerpo de luminaria spot para embutir - Vulcano SA,0,5,0,3,3,0,3,1.6666666666666667,30,11
Cuerpo fundición gris ECM 0.50HP - Vulcano SA,0,4,0,4,2,1,4,1,27.75,12
Cuerpo intermedio BAC - Vulcano SA,0,3,0,2,0,1,2,1.5,44,11
Cuerpo intermedio BAE / BAP / BAF / BAD 5L - Vulcano SA,0,10,0,10,10,0,10,1,13.3,29
Cuerpo intermedio BAS - Vulcano SA,0,3,0,3,3,0,3,1,23.666666666666668,10
Cuerpo intermedio BAT - Vulcano SA,0,5,0,5,5,0,5,1,83,19
Cuerpo intermedio bba Magnus - Vulcano SA | Chile,0,1,0,1,1,0,1,1,26,2
Cuerpo limpiafondo 8 ruedas - Vulcano SA,0.2,4,0,4,4,0,4,1,71.25,12
Cuerpo limpiafondo venturi concintillo - Vulcano SA,0,2,0,2,1,0,2,1,21.5,4
Cuerpo marrón 6 vías s/junta - Vulcano SA,0,1,0,1,1,0,1,1,5,2
Cuerpo marrón 6 vías s/junta p/ unión doble - Vulcano SA,0,4,0,3,2,0,3,1.3333333333333333,384,8
"Cuerpo marrón 6V 2"" - Vulcano SA",0,2,0,1,0,1,1,2,17,6
"Cuerpo multiválvula 6 vías 2"" - Vulcano SA",0,2,0,1,0,0,1,2,51,5
Cuerpo para boquilla - Vulcano SA,0,7,0,6,4,1,6,1.1666666666666667,30.5,22
Cuerpo para hidrojet - Vulcano SA,0.2,4,0,4,3,0,4,1,8,9
Cuerpo para hidromasajeador - Vulcano SA,0,1,0,1,1,0,1,1,7,4
Cuerpo para regulador - Vulcano SA,0,2,0,1,1,0,1,2,0,3
Cuerpo para retorno insertable ø44 - Vulcano SA,0,2,0,2,2,0,2,1,24.5,5
Cuerpo para retorno insertable ø45 - Vulcano SA,0,3,0,3,2,0,3,1,14.333333333333334,9
Cuerpo para succión antivortex - Vulcano SA,0,4,0,3,2,0,3,1.3333333333333333,15,12
Cuerpo para unión doble HH pegar ø50 - Vulcano SA,0,1,0,1,0,0,1,1,30,2
Cuerpo para unión doble MH pegar ø50 - Vulcano SA,0.5,1,0,1,1,0,1,1,0,3
Cuerpo portalámpara p/luminaria orientable - Vulcano SA,0,1,0,1,0,0,1,1,1,2
Cuerpo principal - Zuipy - Vulcano SA,0,3,0,3,2,0,3,1,2,9
Cuerpo virola con aro para pegar - Vulcano SA,0.2,5,0,4,4,0,4,1.25,18.5,16
Cupla PN16 HH ø40 mm (para pegar) - Vulcano SA,0,2,0,2,2,0,2,1,33,8
Cupla PN16 HH ø63 mm (para pegar) - Vulcano SA,0,2,0,1,0,1,1,2,23,7
Cupla archivos - Vulcano SA,0.08333333333333333,11,0,11,7,0,11,1,7.818181818181818,29
Cupla de conexión - Vulcano SA,0,4,0,4,4,0,4,1,38,14
Cupla porta sensor de temperatura - ø50 mm - Vulcano SA,0,9,0,8,5,2,8,1.125,19.75,26
Curva 90° PN16 MH ø50 mm (para pegar) - Vulcano SA,0,1,0,1,0,0,1,1,5,2
Curva archivos - Vulcano SA,0,7,0,4,2,0,4,1.75,15.5,16
Cómo usar un limpiafondo venturi para piletas de lona Vulcano SA,0,1,0,1,1,0,1,1,3,4
Decantador (1 kg) - Vulcano SA | Chile,0,1,0,1,1,0,1,1,18,2
Decantador archivos - Vulcano SA | Chile,0,3,0,2,2,0,2,1.5,2.5,6
Decoración y confort archivos - Página 4 de 9 - Vulcano SA,0,3,0,1,1,0,1,3,22,6
Decoración y confort archivos - Página 5 de 9 - Vulcano SA,0,2,0,1,1,0,1,2,12,9
Decoración y confort archivos - Página 6 de 9 - Vulcano SA,0,1,0,1,0,0,1,1,0,1
Decoración y confort archivos - Vulcano SA,0.041666666666666664,71,0,22,10,0,22,3.227272727272727,34.09090909090909,118
Deflector de goma 35 cm - Vulcano SA,0,4,0,4,4,0,4,1,110.75,12
Deflector de goma 48 cm - Vulcano SA,0,2,0,2,1,1,2,1,14.5,7
Deflector de goma 83 cm - Vulcano SA,0,1,0,1,0,1,1,1,9,4
Deshumidificadores archivos - Vulcano SA,0,70,0,38,18,8,38,1.8421052631578947,26.236842105263158,193
Determinador de cloro (IM) - Vulcano SA,0,3,0,3,0,2,3,1,7.666666666666667,9
Determinador de cloro - Vulcano SA,0,8,0,7,5,1,7,1.1428571428571428,133.14285714285714,20
Determinador de pH (IM) - Vulcano SA,0,3,0,3,2,0,3,1,10.666666666666666,9
Determinador de pH - Vulcano SA,0.16666666666666666,10,0,10,7,2,10,1,15.2,30
Difusor BAC - Vulcano SA,0.3333333333333333,2,0,2,2,0,2,1,2.5,7
Difusor BAE / BAP / BAS / BAT - Vulcano SA,0.125,17,0,13,8,0,13,1.3076923076923077,98.6923076923077,42
Difusor BAE / BAP / BAS 0.33 - Vulcano SA,0,11,0,7,4,2,7,1.5714285714285714,24.857142857142858,38
Difusor BAE / BAP / BAT - Vulcano SA | Chile,0,1,0,1,0,0,1,1,15,2
Difusor inferior - Vulcano SA,0,5,0,4,2,2,4,1.25,45,14
Difusor para 1.25HP - Vulcano SA,0.16666666666666666,5,0,5,3,0,5,1,143.6,16
Difusor superior - Vulcano SA,0,5,0,4,4,0,4,1.25,19,11
Disco reflector AISI - Vulcano SA,0,2,0,1,1,0,1,2,11,6
Dosificadores de cloro archivos - Vulcano SA,0.020833333333333332,49,0,40,28,4,40,1.225,13.875,123
Ducha bastón para piscina - Vulcano SA,0.09523809523809523,22,0,17,7,5,17,1.2941176470588236,29.823529411764707,62
Ducha solar para piscina hoja gris - Vulcano SA,0.125,9,0,6,4,1,6,1.5,19.666666666666668,23
Duchas archivos - Vulcano SA,0.06060606060606061,35,0,28,13,5,28,1.25,17.178571428571427,105
EPM 100 Pressurizing Equipment - Vulcano SA,0,0,0,1,0,0,1,0,14,1
Electrodo de cobre para ionizador solar ION-100 - Vulcano SA,0.04,26,0,24,13,8,24,1.0833333333333333,24,83
Elementor Archivo de productos #33355 – Vulcano SA | Chile,0,2,0,1,1,0,1,2,17,5
Empresa - Vulcano SA,0.014802631578947368,746,0,526,130,97,526,1.4182509505703422,31.61787072243346,1898
Empresa - Vulcano SA | Chile,0,14,0,3,3,0,3,4.666666666666667,401.3333333333333,33
Enrollar cable – Vulcano SA,0,1,0,1,1,0,1,1,7,2
"Entrerosca RM 1 1/2"" - Vulcano SA",0,6,0,4,4,0,4,1.5,13,12
"Entrerosca c/ rosca M 1 1/2"" - Vulcano SA",0,4,0,3,3,0,3,1.3333333333333333,20,11
Equipo presurizador EPM 075 - Vulcano SA,0.16666666666666666,5,0,5,2,1,5,1,49.4,21
Equipo presurizador EPM 100 - Vulcano SA,0.0625,14,0,13,6,1,12,1.1666666666666667,37.25,39
Equipos de desinfección archivos - Vulcano SA,0.02631578947368421,41,0,30,18,0,30,1.3666666666666667,21.366666666666667,93
Escaleras archivos - Vulcano SA,0.06557377049180328,78,0,51,21,16,51,1.5294117647058822,43.31372549019608,220
Espiga de conexión a manguera de riego - Vulcano SA,0,2,0,2,2,0,2,1,46,5
Espina elástica corta p/ pie motor - Vulcano SA,0,4,0,2,1,1,2,2,10.5,11
Espina elástica p/pie motor BAC - Vulcano SA,0,1,0,1,1,0,1,1,12,4
Espina elástica para pie motor bombas BAE - Vulcano SA,0,1,0,1,0,1,1,1,5,4
Esponja multiuso fuerte - 15 cm - Vulcano SA,0,3,0,4,4,0,4,0.75,12,9
Esponja multiuso suave - 15 cm - Vulcano SA,0,4,0,3,1,0,3,1.3333333333333333,16.333333333333332,7
Estator bobinado - BAC 1.50HP - Vulcano SA,0,1,0,1,1,0,1,1,10,3
Estator bobinado - BAP 0.50 (AL) - Vulcano SA,0,7,0,6,3,1,6,1.1666666666666667,48.666666666666664,20
Estator bobinado - Monofásico - Vulcano SA,0,3,0,2,1,0,2,1.5,12.5,6
Estator bobinado 0.33HP - Monfásico - Vulcano SA,0,2,0,2,1,0,2,1,26.5,4
Estator bobinado 0.50HP - Monfásico - Vulcano SA,0,3,0,3,2,0,3,1,21.666666666666668,9
Estator bobinado 0.50HP - Monofásico - Vulcano SA,0,13,0,9,3,6,9,1.4444444444444444,37.77777777777778,43
Estator bobinado 0.75HP - Monofásico - Vulcano SA,0,6,0,6,3,0,6,1,51.333333333333336,14
Estator bobinado 1.00HP - Monofásico - Vulcano SA,0.04,29,0,23,3,6,23,1.2608695652173914,21.782608695652176,79
Estator bobinado 1.00HP - Trifásico - Vulcano SA,0,7,0,6,2,2,6,1.1666666666666667,14.833333333333334,20
Estator bobinado 2.00HP - Monofásico - Vulcano SA,0,2,0,2,1,0,2,1,5.5,5
Estator bobinado BAD 0.50HP - Monofásico - Vulcano SA,0,3,0,3,3,0,3,1,46,9
Estator bobinado BAD 0.75HP - Monofásico - Vulcano SA,0,22,0,16,6,8,16,1.375,27.375,68
"Etiqueta 6 vías 1 1/2"" - Vulcano SA",0,3,0,3,3,0,3,1,30.666666666666668,10
"Etiqueta 6 vías 2"" - Vulcano SA",0,1,0,1,1,0,1,1,13,4
Filtración piscinas - Página 2 de 4 - Vulcano SA,0,1,0,1,1,0,1,1,4,2
Filtración piscinas - Vulcano SA,0.03225806451612903,90,0,56,29,1,56,1.6071428571428572,29.946428571428573,188
Filtración piscinas archivos - Vulcano SA | Chile,0,1,0,1,1,0,1,1,68,2
Filtración portátil - Vulcano SA,0,34,0,27,16,0,27,1.2592592592592593,78.22222222222223,98
Filtro FB 006 para piscina olímpica - c/válvula lateral - Vulcano SA | Chile,0,4,0,2,2,0,2,2,11,9
Filtro FB 064 para piscina olímpica - c/cuadro 5 válvulas - Vulcano SA | Chile,0,5,0,3,2,0,3,1.6666666666666667,36,10
Filtro FB 1400 para piscina olímpica - c/cuadro lateral - Vulcano SA | Chile,0,4,0,2,1,0,2,2,36,11
Filtro HB-300 para piscina olímpica - Vulcano SA,0,40,0,24,9,7,24,1.6666666666666667,63.125,110
Filtro HB-400 para piscina olímpica - Vulcano SA,0.1111111111111111,7,0,7,4,0,7,1,12,20
Filtro HB-500 para piscina olímpica - Vulcano SA,0,8,0,8,2,1,8,1,83.5,20
Filtro VB-300 para piscina olímpica - Vulcano SA,0.022727272727272728,55,0,25,10,4,24,2.2916666666666665,164.83333333333334,133
Filtro VB-400 para piscina olímpica - Vulcano SA,0.13333333333333333,46,0,26,11,7,25,1.84,89.04,129
Filtro VB-500 para piscina olímpica - Vulcano SA,0.14,45,0,30,15,11,30,1.5,78.76666666666667,137
Filtro VC-10 para piscina - Vulcano SA | Chile,0,1,0,1,1,0,1,1,237,4
Filtro VC-100 para piscina - Vulcano SA | Chile,0,1,0,1,1,0,1,1,52,2
Filtro VC-20 para piscina - Vulcano SA | Chile,0,1,0,1,0,0,1,1,109,2
Filtro VC-200 R para piscina - Vulcano SA,0.09803921568627451,51,0,33,27,2,33,1.5454545454545454,104.72727272727273,135
Filtro VC-250 para piscina - Vulcano SA | Chile,0,2,0,1,1,0,1,2,22,5
Filtro VC-30 para piscina - Vulcano,0,1,0,1,0,0,0,0,0,2
Filtro VF-1000 con válvula automática archivos - Vulcano SA,0,1,0,1,1,0,1,1,0,1
Filtro carrega arquivos - Vulcano SA,0,0,0,1,1,0,1,0,9,2
Filtro de piscina VC-200 - Vulcano SA,0,0,0,1,1,0,1,0,8,1
Filtro de piscina VC-200 R - Vulcano SA,0,0,0,1,1,0,1,0,14,1
Filtro de piscina VC-250 - Vulcano SA,0.3333333333333333,0,0,2,2,0,2,0,15,4
Filtro de piscina VC-50 - Vulcano SA,0,0,0,1,1,0,1,0,13,1
Filtro para ionizador solar ION-100 - Vulcano SA,0,6,0,6,5,0,6,1,11.166666666666666,14
Filtro tienda – Vulcano SA | Chile,0,1,0,1,1,0,1,1,1,3
Filtros para piscinas ¡Descubrí las señales para cambiar su carga!,0,2,0,1,1,0,1,2,0,5
Filtros para sodería archivos - Vulcano SA,0.02531645569620253,88,0,72,34,4,72,1.2222222222222223,18.083333333333332,207
Fixed handle - Grooved (ø32 mm x 5.80 m) - Vulcano SA,0.5,0,0,1,1,0,1,0,0,4
Fondo de embutir - Vulcano SA,0,2,0,2,1,0,2,1,10.5,7
Fondo de embutir p/luminaria orientable - Vulcano SA,0,1,0,1,1,0,1,1,2,2
Footer vulcano – Vulcano SA | Chile,0,2,0,1,1,0,1,2,0,4
Fotometro blister - Vulcano SA | Chile,0,6,0,1,1,0,1,6,44,13
Fotómetro archivos - Vulcano SA | Chile,0,7,0,2,2,0,2,3.5,35,15
Fotómetro blister c/bluetooth - Vulcano SA | Chile,0,6,0,1,1,0,1,6,39,12
Fuente de alimentación sellada 150W - Vulcano SA,0,3,0,2,2,0,2,1.5,12.5,8
Fuente de alimentación sellada 30W - Vulcano SA,0.25,6,0,6,3,1,6,1,8,17
Fuente de alimentación sellada 40W - Vulcano SA,0.2,4,0,4,1,3,4,1,34,14
Fuente de alimentación sellada 60W - Vulcano SA,0,4,0,3,3,0,3,1.3333333333333333,22.666666666666668,13
Fuentes de alimentación archivos - Vulcano SA,0.037037037037037035,33,0,23,13,0,23,1.434782608695652,34.869565217391305,86
Gancho AISI para soga - Vulcano SA,0,1,0,1,1,0,1,1,82,3
Gancho mariposa - Vulcano SA,0,1,0,1,0,1,1,1,0,3
Gatillo - Vulcano SA,0,1,0,1,1,0,1,1,5,2
"Grampa 10"" sin ganchos - Vulcano SA",0,1,0,1,0,1,1,1,2,4
Guarda cerámica - Agua - Vulcano SA,0,8,0,6,2,2,6,1.3333333333333333,20.666666666666668,24
Guarda cerámica - Viento - Vulcano SA,0,3,0,3,2,0,3,1,17,9
Hasta 4 metros archivos - Vulcano SA,0,2,0,1,1,0,1,2,76,6
Head Office Branch - Vulcano SA,0,0,0,1,0,0,1,0,15,2
Heat Pumps - Pool Heating - Vulcano SA,0,0,0,2,1,0,2,0,55,2
Hidrojet aro blanco - Vulcano SA,0.05714285714285714,35,0,23,16,4,23,1.5217391304347827,33.17391304347826,98
Hidrojet aro cromado - Vulcano SA,0.05263157894736842,18,0,11,8,1,11,1.6363636363636365,13.272727272727273,45
"Hidromasajeador Blanco - Agua ø50 / Aire H 1/2"" (FV) - Vulcano SA",0.14285714285714285,12,0,10,4,2,10,1.2,44.8,41
"Hidromasajeador Blanco - Agua ø50 / Aire H 1/2"" (Hº) - Vulcano SA",0.07142857142857142,13,0,10,6,1,10,1.3,12,35
Hidromasajeador Blanco - Agua ø50 / Aire ø20 (FV) - Vulcano SA,0,2,0,2,2,0,2,1,107.5,4
Hidromasajeador Blanco - Agua ø50 / Aire ø20 (Hº) - Vulcano SA,0.09523809523809523,18,0,17,10,1,17,1.0588235294117647,55,43
"Hidromasajeador blanco RM 1 1/2"" - FV - Vulcano SA",0,5,0,5,2,0,4,1.25,7.25,11
"Hidromasajeador blanco RM 1 1/2"" - Hormigón - Vulcano SA",0.14,44,0,20,15,1,19,2.3157894736842106,36.68421052631579,118
Hidromasajeadores archivos - Vulcano SA,0,52,0,35,26,1,35,1.4857142857142858,69.42857142857143,133
Hidromasajes - Vulcano SA,0.04597701149425287,120,0,78,28,6,77,1.5584415584415585,32.25974025974026,300
Hipoclorito de calcio archivos - Vulcano SA | Chile,0,2,0,1,1,0,1,2,10,3
Home - Vulcano SA,0,1,0,18,1,1,18,0.05555555555555555,15.222222222222221,135
Home Zuipy - Vulcano SA,0,7,0,4,0,3,3,2.3333333333333335,0,17
Hongo - Vulcano SA,0,1,0,1,1,0,1,1,24,5
Hormigón / F. de vidrio archivos - Vulcano SA,0,1,0,1,1,0,1,1,22,2
Horqueta con clip - Vulcano SA,0.1111111111111111,8,0,8,5,1,7,1.1428571428571428,22.285714285714285,27
Horquilla con seguro - Vulcano SA,0,7,0,6,5,2,6,1.1666666666666667,147.5,21
Icono «Capacitaciones»- Zuipy – slider mobile – Vulcano SA,0,1,0,1,1,0,1,1,1,3
Iluminación para piscinas - Página 2 de 8 - Vulcano SA,0,9,0,4,2,0,4,2.25,23.25,14
Iluminación para piscinas - Página 3 de 8 - Vulcano SA,0,47,0,18,3,11,17,2.764705882352941,51.411764705882355,107
Iluminación para piscinas - Página 4 de 8 - Vulcano SA,0,3,0,2,0,0,2,1.5,36.5,5
Iluminación para piscinas - Página 5 de 8 - Vulcano SA,0,2,0,2,1,0,2,1,17.5,4
Iluminación para piscinas - Vulcano SA,0.08653846153846154,365,0,91,31,18,91,4.010989010989011,64.37362637362638,611
Impulsor BAC 1.50HP - Vulcano SA,0,1,0,1,1,0,1,1,14,3
Impulsor BAC 2.00HP - Vulcano SA,0,2,0,2,1,0,2,1,4,4
Impulsor BAC 3.00HP - Vulcano SA,0,4,0,2,1,1,2,2,31,10
Impulsor BAE / BAF / BAP / BAS 0.33HP - Vulcano SA,0,7,0,7,5,0,7,1,11.285714285714286,19
Impulsor BAE / BAP / BAS / BAT 0.50HP - Vulcano SA,0,6,0,6,5,0,6,1,35.333333333333336,17
Impulsor BAE / BAP 1.25HP - Vulcano SA,0,7,0,3,2,0,3,2.3333333333333335,18.333333333333332,14
Impulsor BAE / BAT / BAP 0.75HP - Vulcano SA,0,7,0,5,3,0,5,1.4,11,15
Impulsor BAE / BAT / BAP 1.00HP - Vulcano SA,0,3,0,3,1,0,3,1,24.333333333333332,8
Impulsor ECM 0.50HP - Vulcano SA,0,2,0,1,0,0,1,2,84,4
Impulsor ECM 0.75HP - Vulcano SA,0,3,0,3,2,0,3,1,15.333333333333334,6
Impulsor ECT 1.00HP - Vulcano SA,0,2,0,2,1,0,2,1,36.5,3
Inicio - Vulcano SA | ARG,0,1,0,1,0,1,1,1,0,7
Inicio Vulcano - Vulcano SA,0,15,0,4,4,0,4,3.75,86.75,644
Juego de rep. pistón con O'Ring y separador - Vulcano SA,0,4,0,2,2,0,2,2,73,9
Junta (pasamuro power LED) - Vulcano SA,0,1,0,1,1,0,1,1,163,3
"Junta blanca 2 1/2"" - Vulcano SA",0,1,0,1,1,0,1,1,10,4
"Junta blanca 2"" - Vulcano SA",0,1,0,1,1,0,1,1,14,2
Junta cuerpo filtro - Vulcano SA,0,1,0,1,0,0,1,1,7,2
Junta de goma - Vulcano SA,0.14285714285714285,6,0,6,2,5,6,1,19.5,25
"Junta de goma 12"" - Vulcano SA",0,2,0,1,0,0,1,2,19,4
"Junta de goma 4"" - Vulcano SA",0,3,0,4,1,2,4,0.75,31,11
Junta de goma para luminaria spot FV - Vulcano SA,0,2,0,2,2,0,2,1,147,7
Junta de goma para tapa visora BAE / BAF - Vulcano SA,0,4,0,4,0,3,4,1,15,15
Junta de goma para tapa visora BAT - Vulcano SA,0,4,0,3,0,2,3,1.3333333333333333,9,12
Junta de skimmer de boca pequena - Vulcano SA,0,0,0,1,0,0,1,0,32,1
"Junta estrella 1 1/2"" - Vulcano SA",0,4,0,4,4,0,4,1,15.25,13
"Junta estrella 2"" - Vulcano SA",0,5,0,5,3,0,5,1,158.6,14
Junta p/ tapa caja conexiones BAD 125 - Vulcano SA,0,1,0,1,1,0,1,1,5,2
Junta para boca ancha - Vulcano SA,0,1,0,1,1,0,1,1,1299,4
Junta para cuerpo intermedio BAC - Vulcano SA,0,1,0,1,1,0,1,1,7,4
Junta para difusor BAC - Vulcano SA,0,2,0,1,0,0,1,2,16,3
Junta para lente luminaria - Vulcano SA,0,4,0,4,2,0,4,1,28.25,15
Junta para lente luminaria spot - Vulcano SA,0,2,0,2,2,0,2,1,25.5,5
Junta para propulsor - Vulcano SA,0.3333333333333333,2,0,2,2,0,2,1,22,5
Junta porta cartucho - Vulcano SA,0,1,0,1,1,0,1,1,67,4
Junta rotor cónico - Vulcano SA,0,3,0,3,2,0,3,1,22,8
Junta skimmer boca chica - Vulcano SA,0,3,0,3,2,0,3,1,15.666666666666666,7
Junta tapa filtro - Vulcano SA,0,3,0,3,2,1,3,1,17.333333333333332,7
Junta tapa prefiltro bba Winner - Vulcano SA | Chile,0,3,0,2,2,0,2,1.5,37.5,6
Junta tubo visor - Vulcano SA,0,2,0,2,1,0,2,1,18,5
Kit carriles KLASIK A - 2.15 m - Vulcano SA,0,2,0,2,1,0,2,1,16,4
Kit carriles KLASIK B - 2.50 m - Vulcano SA,0,2,0,2,0,0,2,1,15,5
Kit control de dureza - Vulcano SA,0.034482758620689655,32,0,26,9,4,26,1.2307692307692308,41.88461538461539,81
Kit de cierre 25 mm - Vulcano SA,0,1,0,1,0,1,1,1,8,4
Kit de unión - 25 mm - Vulcano SA,0,2,0,2,0,0,2,1,13.5,4
Kit de unión - 40 mm - Vulcano SA,0,3,0,3,2,0,3,1,8,6
Kit fotómetro c/testigos y maletín - Vulcano SA | Chile,0,7,0,1,1,0,1,7,121,15
Kit repuesto - Determinadores cloro/pH (IM) - Vulcano SA,0,4,0,4,4,0,4,1,37.5,9
LUMIPOOL archivos - Vulcano SA,0.05333333333333334,96,0,58,37,3,58,1.6551724137931034,17.5,231
Laboratorio archivos - Vulcano SA,0.041666666666666664,30,0,19,12,2,19,1.5789473684210527,112.47368421052632,70
